ACCESSION	IRa_REPORTED	IRa_REPORTED_START	IRa_REPORTED_END	IRa_REPORTED_LENGTH	IRb_REPORTED	IRb_REPORTED_START	IRb_REPORTED_END	IRb_REPORTED_LENGTH
MK994780	yes	86065	112847	26783	yes	129892	156674	26783
MG052607	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH359181	yes	128146	154546	26401	yes	83806	110206	26401
MH491529	yes	131503	157938	26436	yes	85948	112383	26436
MG256495	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK193796	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291474	yes	117356	140081	22726	yes	81909	104634	22726
MK267317	yes	128461	155415	26955	yes	84642	111596	26955
MK251463	yes	133278	160011	26734	yes	88166	114899	26734
KF922320	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK855051	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596117	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH180258	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063903	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN094783	yes	130323	156518	26196	yes	86034	112229	26196
KY034453	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562582	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524613	yes	132061	158321	26261	yes	87076	113336	26261
KM454982	yes	132502	160481	27980	yes	85649	113628	27980
MK758110	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569474	yes	134952	161429	26478	yes	91120	117597	26478
MN725094	yes	124299	149689	25391	yes	86779	112169	25391
MN380699	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF490441	yes	125613	151300	25688	yes	82528	108215	25688
MK994781	yes	86180	112963	26784	yes	129936	156719	26784
MK250977	yes	133170	160186	27017	yes	87382	114398	27017
MG052608	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH359182	yes	128262	154770	26509	yes	83588	110096	26509
MK193797	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK267318	yes	129118	156789	27672	yes	84852	112523	27672
KX426465	yes	1	157610	26136	yes	87015	113106	26092
MH569074	yes	118376	139946	21571	yes	83937	105507	21571
MH791330	yes	127330	151001	23672	yes	83980	107647	23668
KU291475	yes	114478	134520	20043	yes	81859	101901	20043
MG782842	yes	86623	112664	26042	yes	130960	157001	26042
KY596118	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063904	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN094784	yes	130448	156180	25733	yes	86620	112352	25733
MG386499	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX752081	yes	128392	153856	25465	yes	85088	110552	25465
MN524614	yes	132107	158375	26269	yes	86890	113158	26269
KY034454	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY562583	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG407593	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569475	yes	135148	161795	26648	yes	91130	117777	26648
MK120982	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG029118	yes	126951	152040	25090	yes	83967	109056	25090
MN380700	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994782	yes	86001	112763	26763	yes	129673	156440	26768
MG052609	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG917095	yes	129635	155326	25692	yes	86168	111859	25692
MH359183	yes	127962	154328	26367	yes	83465	109831	26367
KF753631	yes	130160	156911	26752	yes	85315	112066	26752
MK193798	yes	131165	156949	25785	yes	87186	113339	26154
MH569075	yes	114345	135887	21543	yes	80156	101698	21543
MK267319	yes	128644	156267	27624	yes	84482	112105	27624
KP462881	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK397933	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX426466	yes	1	157822	26113	yes	87266	113334	26069
KU291476	yes	116811	139142	22332	yes	82042	104373	22332
KY596119	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK248831	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063905	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN165129	yes	130480	156433	25954	yes	86157	112110	25954
MN524615	yes	131237	158364	27128	yes	86935	113162	26228
KU598872	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG407594	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569476	yes	131748	163660	31913	yes	82939	114851	31913
KY562584	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH712480	yes	132410	156313	23904	yes	89761	113664	23904
KM035764	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380701	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994783	yes	85885	112662	26778	yes	129583	156365	26783
MG052610	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KF753632	yes	131030	156997	25968	yes	86656	112623	25968
MK193799	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX828844	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569076	yes	114739	134242	19504	yes	82546	102049	19504
MK267320	yes	128837	156446	27610	yes	84686	112295	27610
KP462882	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH444822	yes	101726	119057	17332	yes	66904	84235	17332
KY596120	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX426467	yes	1	157741	26141	yes	87128	113224	26097
KX063906	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291477	yes	114929	135950	21022	yes	81294	102315	21022
KT781591	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524616	yes	135160	158252	23093	yes	90814	113906	23093
MG407595	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU666544	yes	123586	148617	25032	yes	85952	110983	25032
KY562585	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH909599	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JQ740834	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569477	yes	131820	158355	26536	yes	87481	114016	26536
MH708162	yes	132810	159266	26457	yes	88306	114762	26457
MN380702	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994784	yes	85249	112014	26766	yes	128867	155632	26766
KF977221	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG052611	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX671975	yes	133707	159729	26023	yes	89332	115354	26023
MK193800	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569077	yes	112558	133798	21241	yes	78820	100060	21241
KF753633	yes	134758	159962	25205	yes	90020	115224	25205
MK267321	yes	128913	156537	27625	yes	84728	112352	27625
KP462883	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596121	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX852427	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524617	yes	131568	155143	23576	yes	89472	113047	23576
KX063907	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG450565	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX426468	yes	1	157621	26039	yes	87125	113207	26083
KU291478	yes	117094	140804	23711	yes	80783	104493	23711
KU666545	yes	118885	141810	22926	yes	83189	106114	22926
MH909600	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569478	yes	133919	160415	26497	yes	89018	115514	26497
MH708163	yes	136461	163330	26870	yes	91511	118380	26870
MF401450	yes	114014	134815	20802	yes	80845	101648	20804
MN380703	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994785	yes	84474	111052	26579	yes	127875	154453	26579
MG052612	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH745225	yes	129651	155362	25712	yes	86475	112186	25712
KX671976	yes	133708	159730	26023	yes	89334	115356	26023
MH569078	yes	112802	134366	21565	yes	78567	100131	21565
KF753634	yes	126466	151664	25199	yes	83445	108643	25199
KY596122	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG523998	yes	117675	140451	22777	yes	82266	105042	22777
MN524618	yes	134450	157560	23111	yes	90240	113350	23111
KM974729	yes	116128	137742	21615	yes	81710	103324	21615
KX063908	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU666546	yes	119152	141946	22795	yes	83599	106393	22795
MH748092	yes	86015	112764	26750	yes	129862	156611	26750
KU291479	yes	116487	139255	22769	yes	81116	103884	22769
KX426469	yes	1	157611	26136	yes	87011	113101	26091
MK569479	yes	130948	156939	25992	yes	87193	113184	25992
KX631429	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994786	yes	85308	112042	26735	yes	128905	155639	26735
MN380704	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG052613	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN067431	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF401451	yes	114390	135191	20802	yes	81213	102014	20802
MH569079	yes	112418	133982	21565	yes	78204	99768	21565
MG262347	yes	129806	157511	27706	yes	85567	113272	27706
KX671977	yes	133692	159714	26023	yes	89317	115339	26023
MK411815	yes	82721	109237	26517	yes	127272	153788	26517
MN524619	yes	127707	151505	23799	yes	87620	111418	23799
KF753635	yes	132263	158759	26497	yes	87306	113802	26497
KY596123	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG523999	yes	118401	142796	24396	yes	81411	105806	24396
KM974730	yes	115070	136726	21657	yes	80712	102368	21657
MH359184	yes	127817	154188	26372	yes	83276	109647	26372
KX063909	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569480	yes	129762	156167	26406	yes	85021	111426	26406
MH377056	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994787	yes	85641	112432	26792	yes	129460	156251	26792
KX426470	yes	1	157671	26139	yes	87062	113156	26095
MG052614	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291480	yes	117030	139722	22693	yes	81715	104407	22693
KU696970	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380705	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN067432	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569080	yes	114616	136278	21663	yes	80315	101977	21663
MN524620	yes	133749	157736	23988	yes	90639	114626	23988
MF401452	yes	113950	134748	20799	yes	80788	101587	20800
MH745226	yes	129779	155482	25704	yes	86585	112288	25704
KY596124	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG524000	yes	118036	140732	22697	yes	82933	105629	22697
KF753636	yes	127091	152770	25680	yes	84442	110121	25680
MF401522	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KM974731	yes	114665	136937	22273	yes	79506	101778	22273
KX063910	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
LC320670	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF596485	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH377057	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569481	yes	132799	159370	26572	yes	88481	115052	26572
KM983390	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK994788	yes	85462	112243	26782	yes	129093	155874	26782
MN380706	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG052615	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX426471	yes	1	157918	26133	yes	87326	113414	26089
KU291481	yes	117593	140336	22744	yes	82299	105042	22744
MN524621	yes	133337	157336	24000	yes	90391	114390	24000
MN067433	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569081	yes	112295	133569	21275	yes	78698	99939	21242
KY596125	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG524001	yes	117530	140312	22783	yes	82158	104940	22783
MH910611	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF401453	yes	114440	135241	20802	yes	81141	101942	20802
KF753637	yes	130582	156634	26053	yes	85768	111820	26053
KM974732	yes	113925	135551	21627	yes	79627	101253	21627
KX364399	yes	127005	153234	26230	yes	83071	109300	26230
KX063911	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY126841	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH606237	yes	135835	161412	25578	yes	89884	115461	25578
KY419706	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
GQ413967	yes	49424	59190	9767	yes	26231	36128	9898
MH377058	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569482	yes	128609	159647	31039	yes	79441	110479	31039
MK994789	yes	88391	110508	22118	yes	131805	153922	22118
MN380707	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG052616	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524622	yes	133416	157384	23969	yes	90456	114424	23969
MH569082	yes	79773	101334	21562	yes	79749	101333	21585
KU291482	yes	118257	141061	22805	yes	82908	105712	22805
MG813997	yes	131855	158777	26923	yes	86941	113863	26923
MN067434	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK479212	yes	130021	156790	26770	yes	85126	111896	26771
KY596126	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX352464	yes	79113	121545	42433	yes	129386	171818	42433
MK064244	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK922360	yes	127491	152576	25086	yes	87263	108748	21486
KF753638	yes	133501	160085	26585	yes	88171	114755	26585
KM974733	yes	114288	135890	21603	yes	80110	101712	21603
KX063912	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH606238	yes	137465	162929	25465	yes	91536	117000	25465
KY419707	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH377059	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569483	yes	128663	154849	26187	yes	85184	111370	26187
MK994790	yes	85747	112509	26763	yes	129392	156154	26763
KU956042	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY363216	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC180769	yes	133160	159527	26368	yes	88294	114661	26368
MF967579	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN380708	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524623	yes	133426	157399	23974	yes	90378	114351	23974
LC342076	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569083	yes	114451	136085	21635	yes	80252	101886	21635
MK881073	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KU291483	yes	117146	139902	22757	yes	81736	104492	22757
KX364458	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY596127	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN067435	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG720817	yes	133020	159086	26067	yes	88191	114256	26066
KY045477	yes	127985	164871	36887	yes	83678	120564	36887
KX352465	yes	84240	109244	25005	yes	127441	152445	25005
KM974734	yes	113475	134975	21501	yes	79371	100871	21501
MK881074	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063913	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KY419708	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
JN415112	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569484	yes	129115	155900	26786	yes	85901	112686	26786
MN524624	yes	131301	157433	26133	yes	86553	112685	26133
MK994791	yes	85273	112031	26759	yes	128507	155265	26759
KY363217	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH427087	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF967580	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK479213	yes	130472	157236	26765	yes	85636	112399	26764
KC180770	yes	133162	159529	26368	yes	88296	114663	26368
MN380709	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK455800	yes	128539	169944	41406	yes	84885	126290	41406
LN896355	yes	85020	111561	26542	yes	129074	155615	26542
MH569084	yes	113965	135468	21504	yes	79788	101291	21504
KY596128	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MG720818	yes	133066	159144	26079	yes	88187	114265	26079
KU291484	yes	116060	138842	22783	yes	80731	103513	22783
KY623639	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX352466	yes	84178	110586	26409	yes	128163	154569	26407
KY045478	yes	128499	165515	37017	yes	84066	121082	37017
KM974735	yes	115966	137399	21434	yes	81820	103253	21434
MG664797	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KX063914	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MN524625	yes	131473	157627	26155	yes	86545	112699	26155
JN415113	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH161419	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MK569485	yes	126600	153134	26535	yes	82719	109253	26535
MK994792	yes	85785	112552	26768	yes	129585	156352	26768
KY363218	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MF967581	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
KC180771	yes	133336	159724	26389	yes	88470	114837	26368
LN896356	yes	84999	111500	26502	yes	118361	141149	22789
KR872391	yes	138226	164831	26606	yes	88752	115357	26606
KY820583	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH569085	yes	113819	135362	21544	yes	79626	101169	21544
MG182696	yes	88324	114726	26403	yes	133285	159687	26403
KY596129	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
MH037167	yes	127199	152621	25423	yes	83904	109326	25423
MG720819	yes	133136	159231	26096	yes	88169	114263	26095
KX352467	yes	91977	116613	24637	yes	136544	161180	24637
MK479214	yes	131272	157612	26341	yes	87141	113178	26038
KY045479	yes	128339	165511	37173	yes	83748	120920	37173
KM974736	yes	114627	136823	22197	yes	79708	101904	22197
KU291485	yes	117943	140644	22702	yes	82642	105343	22702
MG664798	no	n.a.	n.a.	n.a.	no	n.a.	n.a.	n.a.
